,0,1,2,3,4
0,9.742515005676973e-09,0.00027293562393830887,0.9996935553221596,3.342552873845361e-05,7.378264874124248e-08
1,0.9989344506415728,0.0005969704391894787,0.00042775501655420607,4.074528154707973e-05,7.862113637037963e-08
2,8.307487143836087e-06,2.77616754447046e-05,1.4114322318687481e-05,0.9999498060682042,1.0446888586883357e-08
3,6.407446729908962e-12,0.00013971806005133014,0.999295047109375,0.00024667289854963994,0.00031856192561674463
4,6.9769006743243794e-15,3.911625226864756e-06,0.9999489957552494,8.401940158226347e-06,3.869067935845689e-05
5,9.513575416969193e-06,9.947417831842348e-05,0.9985920852285894,0.0006933839179201765,0.000605543099754973
6,3.564525329634414e-10,0.9999509191928706,2.759431419912028e-07,5.976417245434585e-08,4.874474336233109e-05
7,1.1506008207098744e-06,8.43793527204798e-06,0.00020278623865501762,0.9997830212779136,4.603947338759663e-06
8,2.504312906734012e-05,0.9993353288618169,0.0003148411808398524,0.00030677411065233517,1.8012717623628544e-05
9,1.6760948060168968e-06,0.00019101980183206424,2.547040086494973e-05,1.3955937646767288e-07,0.9997816941431205
10,1.1609671591020768e-06,0.8369733754112538,0.16175361947305375,0.0008562429992147707,0.0004156011493185885
11,1.5109379819715705e-10,0.999769995618093,4.6719109648053793e-07,0.00022193800603978036,7.599033676728834e-06
12,1.0501587712122646e-05,0.00033823723659194565,0.9988722565893077,0.000778230760231442,7.738261568288781e-07
13,4.6993760330583835e-05,0.9999164736001555,2.5283705993402372e-05,2.22490594285008e-07,1.1026442926208205e-05
14,7.925389641417582e-07,5.8729601394043797e-05,0.9999211248340435,1.5293347223890435e-05,4.05967837440688e-06
15,1.78094770967011e-12,0.00027260490131515393,5.62094567677588e-10,1.69224453860989e-12,0.999727394533117
16,0.0006410612754696439,0.00019692454454990757,0.025092782603660626,0.9664960762686857,0.007573155307634052
17,1.4347820782749136e-09,1.5898842834466775e-09,1.2165708290062624e-05,1.5258766602881606e-08,0.9999878160082769
18,2.5442085928776056e-16,1.8530093164923345e-09,0.9998521155976143,0.00014454483458999583,3.3377147861274788e-06
19,9.761988164075196e-25,7.896279545875651e-10,6.62888604648549e-08,3.4767983374154476e-10,0.9999999325738317
20,1.9112531750601122e-09,0.00019205929167683526,0.9996602054491274,9.680339213814311e-05,5.092995580433205e-05
21,2.433114023888784e-09,9.54557893326765e-06,0.0002647979661441532,5.258306247556747e-05,0.999673070959333
22,1.1671944629095557e-09,3.741909544185039e-05,2.918420294525705e-05,7.59914375736682e-07,0.9999326356200428
23,5.999173579599235e-15,3.664495612610013e-11,0.00048647781023087043,3.1444697391366236e-06,0.999510377683379
24,1.4674374963865777e-05,0.9997707407784654,9.772397486321886e-05,3.611658082985165e-05,8.074429087741479e-05
25,6.696237622528499e-13,1.0258468797746759e-12,0.9999999999854858,1.281853469250738e-11,4.687157124730155e-20
26,4.955423556408354e-08,0.9950760799037596,0.0006322219538513148,0.0036390377120337266,0.0006526108761200018
27,1.5902239506523126e-05,0.005701671359898907,0.9893502063877399,0.0032654342691723266,0.001666785743682539
28,5.185155959315257e-07,0.00012778529635694603,0.00025551903439746784,0.9994646938481163,0.00015148330553338893
29,5.648184667388096e-06,0.00010252835051522377,0.999876925285591,8.1672148528973e-06,6.730964373507544e-06
30,2.159622429194515e-09,0.000509353765401077,1.1479168841831402e-05,0.999468243385221,1.0921520913569007e-05
31,2.2575148997755018e-05,0.9999540438134528,8.51425117846088e-06,4.910967902027456e-06,9.955818469218561e-06
